total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
4689,120,1770,860,610,185.02
2416,0,385,115,155,186
3448,75,1150,500,520,187
2017,40,595,225,300,188
5462,125,1795,875,610,189
9127,350,5690,3905,1160,190.01
4765,170,1650,970,465,190.02
4229,60,1285,540,530,191
905,35,370,185,110,192
3314,155,1460,765,675,193
5498,440,4290,3190,800,194.01
6240,410,4160,2940,880,194.02
2933,155,1755,1115,385,194.03
6437,355,3985,2630,885,194.04
4483,30,810,270,335,195.01
2317,10,435,150,190,195.02
1977,10,360,105,125,196.01
5635,10,695,155,275,196.02
5614,205,2425,1315,700,200.01
981,10,325,125,105,200.02
5371,240,1970,1045,645,201
1647,20,435,200,135,202
3160,50,940,425,300,203
4537,70,1080,455,375,204
149,NA,NA,NA,NA,205
4217,80,1345,665,385,206.01
5867,90,1780,855,600,206.02
2605,60,890,425,280,207
4172,150,1560,860,490,208
2718,135,1085,645,250,209
3083,110,1110,530,360,210.01
11390,190,4385,1660,1765,210.02
6350,175,2475,1185,815,211
5704,120,1730,810,555,212
2666,60,1135,550,370,213.01
6045,155,2835,1435,935,213.02
5069,170,2115,1040,660,214
6748,195,2575,1260,885,215
5532,50,1580,620,550,216
5692,205,3065,1850,825,217
2652,10,475,125,190,218
4427,75,1620,645,600,219
4177,95,1855,990,485,220
6377,105,2320,1165,680,221.01
5202,195,2405,1390,755,221.02
6699,235,3170,1675,990,222.01
5141,120,2225,1180,745,222.02
1522,20,550,240,215,223.01
2136,30,750,315,275,223.02
1696,10,495,150,205,224
4981,125,2115,1140,655,225.01
9706,435,4995,2975,1355,225.02
3167,15,690,195,300,226
1750,5,320,80,130,227
3131,10,705,195,265,228
1223,5,215,65,75,229
2537,45,875,315,320,230.01
6537,240,3400,1965,970,230.02
6461,95,2095,730,815,231
3825,40,1030,305,425,232
5530,115,2125,1040,650,233
4524,85,1805,865,620,234
2841,55,985,450,305,235.01
5277,165,2510,1370,735,235.02
6646,240,3170,1850,865,236.01
5946,125,2760,1455,865,236.02
6816,220,3200,1850,1045,237.01
2986,105,1365,705,480,237.02
5638,160,2145,1095,650,237.03
3350,60,1265,445,480,238.01
5244,175,2535,1355,780,238.02
6481,195,2740,1470,875,239
3366,90,1555,610,575,240.01
6043,240,3260,1790,905,240.02
3231,55,1245,465,455,241
1674,40,725,360,290,242
6658,305,3950,2500,1130,243.01
3617,175,1700,975,455,243.02
5677,185,2510,1465,790,244.01
3779,115,1550,850,530,244.02
6934,210,2805,1615,920,245
3595,110,1395,720,455,246
8727,395,4590,2925,1340,247.01
7167,305,3445,1985,1060,247.02
5671,240,2280,1540,730,248.02
2619,85,1235,805,325,248.03
4771,180,2135,1365,555,248.04
4332,210,2170,1295,550,248.05
4650,300,2435,1475,635,249.01
5696,310,2705,1730,665,249.03
3344,220,1980,1400,415,249.04
5476,625,3840,2870,715,249.05
5432,360,2955,1935,690,250.01
4928,190,2195,1225,650,250.02
6206,260,2700,1920,675,250.04
