total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
6042,330,3470,2260,790,526.01
3557,140,1850,1135,475,526.02
10665,370,6200,3440,1795,527.01
5258,240,2860,1590,770,527.02
8677,295,4915,2615,1595,527.03
5778,125,2685,1325,810,527.04
5629,200,3110,1590,970,527.05
3979,175,2250,1295,635,527.06
4916,155,2465,1385,750,527.07
4172,220,2230,1320,570,527.08
3415,225,1690,985,415,527.09
5695,315,2945,1710,785,528.01
7622,400,4515,2635,1335,528.02
8863,465,5050,2975,1390,528.1
5511,230,3170,1685,1e3,528.11
5748,240,3075,1635,960,528.12
3509,115,1640,850,540,528.13
4438,225,2600,1515,710,528.15
5188,220,3020,1795,805,528.16
6831,260,3655,1890,1160,528.18
5359,255,3185,1855,875,528.19
5909,330,3190,1840,935,528.2
4354,175,2225,1370,605,528.21
6543,545,4165,2995,820,528.22
5234,250,3065,1690,875,528.24
7714,340,4095,2280,1245,528.25
5325,315,2890,1725,850,528.26
6332,335,3595,2220,830,528.31
4190,155,2240,1150,750,528.32
6444,210,3225,1670,1110,528.33
5975,245,3060,1610,915,528.34
3310,125,1700,850,550,528.35
8215,865,6125,4505,1065,528.36
8535,400,4725,2760,1300,528.37
6886,120,3005,1425,1030,528.39
6198,160,2750,1300,955,528.4
7940,355,4160,2490,1200,528.41
5566,240,3335,1815,980,528.42
5110,215,2895,1770,820,528.43
2081,65,1070,560,355,528.44
5652,245,3015,1740,915,528.45
7144,275,4185,2505,1240,528.46
5261,205,2850,1555,875,528.47
7955,400,4810,2900,1270,528.48
4860,125,2255,1110,715,528.49
3848,250,2125,1530,375,529.01
4676,310,2540,1760,590,529.02
5212,245,2300,1455,610,530.01
3169,185,1535,1030,390,530.02
4144,155,1615,1020,440,531.01
6660,345,3335,2140,840,531.02
4353,305,2370,1670,455,532.01
4629,240,2360,1545,520,532.02
5031,110,1315,585,415,540.01
5599,40,1195,425,405,540.02
4649,50,1275,600,425,550.01
7464,245,2645,1300,855,550.02
6270,115,1770,885,545,560
6447,170,2070,1100,630,561
6494,170,2215,1035,690,562.02
4824,90,1280,655,430,562.03
4528,120,1370,725,430,562.04
5659,155,1850,990,545,562.05
3036,75,1245,575,410,562.06
4480,115,1455,830,440,562.07
4103,65,1e3,460,315,562.08
3880,50,1050,575,320,562.09
3030,35,805,350,260,562.11
7092,205,2830,1715,805,562.12
1227,25,340,175,90,562.13
3924,115,1470,800,410,562.14
3724,105,1370,745,405,562.15
6743,275,3130,2105,840,563.01
2934,65,855,450,260,563.02
2328,50,715,400,200,564.01
4788,105,1750,1005,490,564.02
3297,70,985,580,290,570.01
3645,30,690,230,240,570.02
3855,140,1100,605,355,571.01
3998,115,990,445,340,571.02
6789,145,1615,780,515,572.01
3124,95,1170,685,315,572.04
5902,215,2610,1565,765,572.05
4645,235,2265,1475,545,572.07
5455,320,3075,2015,725,572.08
4810,165,2175,1245,585,572.09
3598,205,1765,1145,460,572.1
6441,145,1860,1010,615,573.03
5585,205,1885,940,605,573.05
4598,120,1575,840,530,573.06
5818,110,1425,705,450,573.07
6060,245,2235,1285,610,573.09
3196,155,1365,745,390,573.1
5082,275,2310,1470,580,573.11
6619,90,1295,535,465,574
5892,200,1980,1150,510,575.01
4698,120,1255,715,425,575.02
6703,215,2255,1380,640,575.03
6198,95,1530,735,510,575.04
6932,175,2240,1170,655,575.05
4075,200,2330,1470,600,575.07
5561,180,2135,1165,640,575.08
4398,45,1035,420,365,576.04
7022,255,2595,1520,820,576.05
7300,125,2355,1280,675,576.06
4573,165,1620,855,495,576.07
3782,35,675,245,280,576.09
12449,710,6650,4270,1535,576.1
6468,435,3580,2250,825,576.16
6767,525,3695,2440,795,576.17
6827,565,4065,2775,845,576.2
7401,505,4085,2735,935,576.22
10438,610,5890,3400,1735,576.24
4136,165,1740,1005,525,576.29
3786,70,1010,415,425,576.31
9555,330,3460,1905,1140,576.32
2518,30,585,235,255,576.33
6067,195,2245,1275,670,576.34
7968,565,4880,3130,1215,576.4
8197,345,3610,2155,1010,576.41
12430,480,5330,3085,1665,576.42
6463,235,2805,1615,800,576.43
2784,100,1190,660,330,576.44
2929,195,1640,1040,360,576.45
5318,430,2860,1930,600,576.46
4062,250,2280,1415,755,576.47
6039,275,2680,1520,745,576.49
6735,345,3090,1875,770,576.5
5871,240,2505,1500,680,576.52
4441,205,2065,1200,555,576.53
4682,295,2625,1690,600,576.54
6800,630,4165,2875,810,576.55
7839,600,4600,2955,1080,576.56
3505,185,1795,1030,465,576.57
8392,610,4825,3165,1100,576.58
6551,515,3995,2640,880,576.59
8505,675,5545,3745,1175,576.6
11174,825,7190,4610,1725,576.61
7013,605,4305,2840,950,576.62
6183,460,3850,2435,925,576.63
8607,725,5175,3285,1275,576.64
2364,175,1370,955,285,576.65
6608,600,4105,2820,870,576.66
8090,650,4695,3290,1010,576.67
5096,340,2935,1805,825,576.68
5665,355,3350,2205,780,576.69
18972,850,9350,5460,2770,576.7
23401,1370,13580,8285,3735,576.71
9492,415,5180,3040,1640,576.72
6180,125,1960,785,720,585.02
5451,60,1200,330,530,585.03
7211,40,1410,330,630,585.05
7011,75,1465,450,575,585.07
3829,25,810,210,320,585.08
5761,60,1305,305,585,585.09
4112,90,1225,460,480,585.1
12562,450,4760,2400,1525,586.01
2894,40,660,295,195,586.02
5966,30,980,260,400,587.01
5525,30,670,220,210,587.02
4966,0,310,80,120,590
5442,10,340,80,160,591.01
5026,5,270,40,115,591.02
6874,20,610,185,235,592.01
6592,5,430,105,175,592.02
8609,35,1120,345,420,593
6302,115,1365,640,395,600.01
7016,180,2600,1335,835,600.02
4115,55,800,300,250,601
4898,35,775,250,295,602
4999,150,1530,870,425,603
2343,10,330,120,115,604
2532,20,465,185,140,605
5092,165,1730,850,545,606
2978,40,790,330,225,607
2674,40,830,415,240,608
2802,35,610,270,200,609
8876,85,2400,1010,965,610.02
4533,30,765,255,245,610.03
3244,30,620,255,185,610.04
4992,35,1020,385,385,611
68,0,15,10,5,612.01
6249,110,2020,1045,625,612.03
5871,65,1475,685,520,612.05
5562,165,2335,1210,795,612.08
51,0,10,0,10,612.1
5811,95,1735,715,595,612.11
6846,95,1900,870,670,612.12
3811,70,1010,480,335,612.13
4261,80,1330,705,405,612.14
7111,120,2650,1300,920,612.15
4379,75,1660,810,565,612.18
4067,80,1465,780,445,612.19
4403,95,1580,765,465,612.2
6694,110,2595,1270,850,612.21
7321,150,2855,1365,990,612.22
4822,90,1750,870,600,612.23
7982,210,3350,1660,1210,612.24
5474,110,2040,1010,635,612.25
4141,100,1315,690,405,612.26
5322,75,1575,745,530,612.27
4134,60,990,480,295,613.01
4071,65,1120,550,390,613.03
4477,75,1525,790,470,613.04
3137,30,725,290,250,614.01
3941,20,920,350,320,614.02
6430,195,3250,1715,1170,615
9195,160,3205,1525,1055,620.01
4590,45,1355,535,590,620.05
6801,110,2710,1405,890,620.06
5447,80,1840,870,660,620.07
7926,160,3275,1690,1100,620.08
5278,75,1870,890,665,620.09
11955,275,4805,2425,1815,620.1
11685,210,4545,2180,1585,620.11
17652,395,7470,3765,2565,620.12
2369,25,625,275,165,620.13
5583,30,585,180,230,621
6042,40,685,245,225,622
3604,35,480,200,160,623
5280,20,615,200,215,624
880,5,70,20,30,625
5841,25,820,225,300,626
3315,70,860,425,260,630
4903,50,885,320,320,631.02
4827,25,680,205,275,631.03
5440,30,910,335,375,631.04
4353,25,440,150,145,632
3379,10,305,80,110,633
4431,15,525,180,190,634.01
3666,15,335,105,95,634.02
6066,15,525,160,175,635
3064,10,285,80,90,636
7255,75,1070,350,460,637
6012,15,480,160,190,638
4450,20,395,120,135,639
3107,15,485,170,210,800.01
4534,10,485,175,180,800.02
3513,5,390,105,155,801.01
5881,50,1e3,375,375,801.02
3829,55,1170,550,395,802.01
5675,35,1320,540,530,802.02
